Bhk,Price,Location
3,45000,"Lanco Hills, Manikonda, Outer Ring Road"
3,20000,"Narsingi, Outer Ring Road"
3,36000,"Domalguda, Himayath Nagar, NH"
3,22000,"NCL Ganga, Kompally"
3,23000,"Pragathi Nagar, Ramanthapur, NH"
3,15500,"Saket, Secunderabad"
3,12000,Sainikpuri
4,45000,"NCC Urban One, Narsingi, Outer Ring Road"
3,35000,"Lakdikapul, NH"
2,15000,Vidya Nagar
3,32000,"Aparna Hillpark Gardenia, Chandanagar, NH"
3,22000,"Kalyan Puri, Secunderabad"
2,27000,Nehru Nagar-West Marredpally
2,10000,Sangareddy District
2,22000,"Samata Colony, Toli Chowki"
3,12000,Dammaiguda
3,16000,"Tilak Nagar, New Nallakunta, NH"
3,22000,"Tellapur, Outer Ring Road"
3,39000,"Aditya Imperial Heights, Hafeezpet, NH"
3,18000,Karwan sahu
3,50000,New Mallepally
2,33000,"My Home Avatar, Narsingi, Outer Ring Road"
3,18500,Mayur Marg
3,48000,Nanakram Guda
4,25000,"Saptagiri Colony, Kukatpally, NH"
2,15000,Sangareddy
2,14000,"Dilsukhnagar, NH"
3,20000,"Alkapuri, LB Nagar, NH"
2,27000,Madhapur
2,15000,"Vidyanagar, Adikmet"
2,14000,"Champapet, Koti"
3,16500,"Nirmala Ratna Apartment, Gangaram, Chandanagar, NH"
3,29000,"Moti Nagar-Erragadda, NH"
3,40000,"Mantri Celestia, Gachibowli, Outer Ring Road"
2,17500,Masab Tank
3,16000,"Hyder Nagar, NH"
3,30000,"Khaja Guda, Outer Ring Road"
3,25000,"Pearl Celestial, Kokapet, Outer Ring Road"
3,24000,"Vertex Pleasant, Kukatpally, NH"
3,35000,"Banjara Hills, NH"
3,40000,"Kavuri Hills, Madhapur"
1,42000,Aparna Serene Park
3,22000,"Daisy Classic, Kukatpally, NH"
2,23000,"SMR Vinay Harmony County, Appa junction"
5,40000,"My Nest Mahati, Kondapur"
3,27000,"De Lite Power Welfare Society, Narsingi, Outer Ring Road"
2,12500,Gajularamaramm
2,12500,"Sun City, Bandlaguda, Chevella Road"
2,12000,Gudimalkapur
3,18000,Tarnaka
3,25000,Appa junction
3,25000,Raghuram A
3,23000,"SMR Vinay City, Miyapur, NH"
3,16000,Nizampet
3,38000,"Yousufguda, NH"
3,18500,"Chandanagar, NH"
3,50000,"Lumbini Avenue, Gachibowli, Outer Ring Road"
3,22000,"Kokapet, Outer Ring Road"
3,31000,Kothaguda
3,38000,"Gachibowli, Outer Ring Road"
3,25000,"Hafeezpet, NH"
1,10000,"Kukatpally Housing Board Colony, NH"
2,16500,Attapur
1,13000,Lakshmi Nagar Colony-Hanuman Nagar Colony
1,25000,Gachibowli
3,50000,"Lodha Meridian, K P H B Phase"
2,36000,"Magnam Opus, Gachibowli, Outer Ring Road"
2,30000,"My Home Avatar, Narsingi, Outer Ring Road"
3,32000,"SMR Vinay Fountainhead, Hyderabad"
2,10000,"Bagh Amberpet, Amberpet, NH"
2,16000,Attapur
3,19000,"Aakriti Honey dew, Tellapur, Outer Ring Road"
3,17500,"Kukatpally, NH"
3,20000,"Hill County Township, Bachupally, Outer Ring Road"
2,13000,Serilingampally
2,26000,"Project Golden Habitat, Madhapur"
3,40000,"Western Exotica Project , Kothaguda"
3,26000,"Aditya Imperial Heights, Hafeezpet, NH"
3,18000,Haripuri colony
2,15000,"Manikonda, Outer Ring Road"
3,15000,Aminpur
4,50000,"Banjara Hills, NH"
3,18000,"APSEB Colony, Hastinapuram"
3,18000,"Silver Spring, Narsingi, Outer Ring Road"
2,10000,"Bachupally, Outer Ring Road"
2,13000,Attapur
2,25000,"Bhavyas Akhila Exotica, Kukatpally, NH"
3,15000,"Sri Mahalakshmi Residency, Attapur"
2,18000,"Lakdikapul, NH"
3,24000,"Sri Nainas Sunrise, Manikonda, Outer Ring Road"
2,17000,Balkampet
2,16500,Puppalaguda
3,45000,"Western Exotica Project , Kothaguda"
3,23000,"APGOs Coop HSG Society, Hafeezpet"
2,14000,Toli Chowki
3,23000,Hyderaguda-Attapur
3,25000,"Infocity Excellence and Elegance, Nallagandla, Serilingampally"
3,25000,Mehdipatnam
3,15000,"Aparna Kanopy Tulip, Kompally"
3,35000,"Sumukhi Orbit, Madhapur"
3,34000,"Project Hill Ridge Springs, Gachibowli, Outer Ring Road"
3,26000,"Gayatri Hills, Jubilee Hills"
3,15000,"Emerald Heights, Nizampet"
2,16000,"New Dilshukh Nagar, NH"
3,14000,Maruthi Nagar
2,10000,"Hayathnagar, NH"
3,35000,Kondapur
2,10500,"Quthbullapur, NH"
4,36000,Puppalaguda
2,18000,Puppalaguda
3,18000,"Modi Splendour, Kukatpally, NH"
3,26000,Attapur
3,18000,"Modi Splendour, Kukatpally, NH"
2,10200,"Quthbullapur, NH"
2,14500,Borabanda
3,18000,"Miyapur, NH"
3,23000,"Manikonda, Outer Ring Road"
3,36000,"Ashoka Liviano, Gachibowli, Outer Ring Road"
4,25000,"Al Hasnath Colony, Toli Chowki"
2,9000,Narapally
3,45000,"Gachibowli, Outer Ring Road"
2,13000,"New Bowenpally, NH"
3,30000,Shaikpet
3,25000,"Hafeezpet, NH"
3,17000,Uppal Metro
3,17000,Bowenpally
3,20000,Nizampet
3,35000,"IT Heights, Khaja Guda, Outer Ring Road"
3,15000,Bowenpally
2,10000,"Modi Emerald Heights, Pocharam, NH"
3,16000,"Modi Splendour, Gajularamaramm"
3,32000,"Pranav Surya Planet, Kothaguda"
2,14000,"Miyapur, NH"
2,15000,"Chandanagar, NH"
2,8500,"Lalaguda, Secunderabad"
1,8000,"LB Nagar, NH"
3,10000,"Sri Sai Ram Residency, Beeramguda, Ramachandra Puram, NH"
2,15000,Gayathri Nagar
3,29000,"Concrete Palazzo, Nacharam"
2,19500,"Silver Nest Arcade, Narayanguda"
2,35000,"My Home Avatar, Narsingi, Outer Ring Road"
2,30000,Narayanguda
3,30000,"Aditya Imperial Heights, Hafeezpet, NH"
3,18000,New Nallakunta
2,33000,"Lodha Meridian, Kukatpally Housing Board Colony, NH"
2,35000,"Banjara Hills, NH"
3,35000,"Vajras Jasmine County, Gachibowli, Outer Ring Road"
3,40000,"SMR Vinay Iconia, Kondapur"
3,40400,"My Home Avatar, Narsingi, Outer Ring Road"
2,17000,"Krishna Giri Enclave, Secunderabad"
3,48000,"Prestige Ivy League, Hitech City City"
3,48000,"Jayabheri Orange County, Gachibowli, Outer Ring Road"
3,22000,"Janapriya Utopia II, Upparpally, Hyderabad Expressway"
3,40000,"SRI SAIRAM Towers, Hafeezpet, NH"
2,18000,Shivam Rd
2,16000,"Kukatpally Housing Board Colony, NH"
2,20000,Kondapur
1,6500,Vidyanagar
3,45000,"Golf View, Gachibowli, Outer Ring Road"
3,40000,"Rainbow Vistas Rock Gardens, Hitech City City"
3,30000,Kondapur
2,17000,"Gayatri Hills, Jubilee Hills"
2,25000,"Ayyappa Society, Madhapur"
3,28000,"Indu Fortune Fields apartments, Hitech City City"
2,20000,Kondapur
3,15000,Dammaiguda
2,20000,"Basheer Bagh, NH"
3,45000,Masjid Banda
3,30000,"Rethibowli, Mehdipatnam"
3,35000,"Vajras Jasmine County, Financial District, Nanakram Guda"
1,13000,Kondapur
1,10000,Kondapur
2,31000,Aparna Cyber Commune
2,30000,"Aparna Serene Park, Masjid Banda"
2,41000,"Ashvita, Hitech City City"
3,31000,"Aparna CyberZon, Nallagandla, Serilingampally"
3,36000,"ACE Atlantis, Khaja Guda, Outer Ring Road"
2,29000,Jubilee Hills
3,23000,Narayanguda
1,15000,Kothaguda
3,28000,"Aditya Imperial Heights, Hafeezpet, NH"
3,35000,Hitech City City
3,45000,"Lodha Meridian, Kukatpally, NH"
3,50000,"Nagarjuna Residency, P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road"
3,45000,"Apurupa Avenue, Kavuri Hills, Madhapur"
3,23000,Kondapur
2,16000,"Banjara Hills, NH"
4,38000,"Ameerpet, NH"
3,42000,"My Home Vihanga, Gachibowli, Outer Ring Road"
3,26000,"PBEL City, Appa junction"
3,50000,"Aparna Aura, Jubilee Hills"
4,50000,"Jains Carlton Creek, Gachibowli, Outer Ring Road"
3,48000,"Ramky Towers Elite, Madhapur"
3,25000,"Shanthi Nagar-Kukatpally, NH"
3,22000,"Sanjeeva Reddy Nagar, NH"
3,25000,"Surya Nagar, Toli Chowki"
3,40000,"Gachibowli, Outer Ring Road"
2,18000,West Marredpally
2,17000,"Samata Colony, Toli Chowki"
3,50000,"Banjara Hills, NH"
3,18000,"Manikonda, Outer Ring Road"
3,45000,Kondapur
3,45000,"Aparna Serene Park, Kondapur"
2,18000,"Solanki Gulmohar, Brahman Wadi, Begumpet"
2,17500,Attapur
3,14000,"Saroornagar, NH"
2,15000,Fort View Colony
3,35000,"Morning Raga, Alkapur Township, Manikonda, Outer Ring Road"
1,7500,"Uppal, NH"
3,13000,Nagaram
2,17000,"Chandanagar, NH"
3,25000,"Surya Sravanthi Apartment, Kothaguda"
2,15000,"Lotus Avenues, Miyapur, NH"
3,12000,"Saroornagar, NH"
2,30000,"Kokapet, Outer Ring Road"
2,39000,"Kokapet, Outer Ring Road"
2,26000,Police Colony-Kondapur
3,30000,"Rajapushpa Atria, Kokapet, Outer Ring Road"
3,18000,Bandlaguda Jagir
2,20000,"Jeedimetla, NH"
3,15000,"Bachupally, Outer Ring Road"
2,20000,"Durgabai Deshmukh Colony, Amberpet"
3,30000,"Nallagandla, Serilingampally"
2,13000,"Malakpet, NH"
2,28500,"Malaysian Township, Kukatpally, NH"
2,14500,IDPL Colony
3,28000,"Hafeezpet, NH"
3,27000,"Accurate Wind Chimes, Narsingi"
2,8500,"Beeramguda, Ramachandra Puram, NH"
3,30000,"Aditya Imperial Heights, Hafeezpet, NH"
3,45000,"Gachibowli, Outer Ring Road"
3,30000,"Manikonda, Outer Ring Road"
3,36000,"Aditya Gardenia, Banjara Hills, NH"
