Bhk,Price,Location
2,17000,"Manikonda Society, Manikonda, Outer Ring Road"
3,18000,"Manikonda, Outer Ring Road"
2,20000,"Kukatpally Housing Board Colony, NH"
2,15000,Chikkadpally
2,18000,"Vasavi Residency, Anand Nagar-Khairatabad, NH"
2,12000,Rahat Nagar-Amberpet
2,12000,"Old Alwal, Secunderabad, Siddipet Road"
2,11500,"Chandanagar, NH"
2,15600,"Kukatpally Housing Board Colony, NH"
2,9000,New Maruthi Nagar
3,18000,Friends Colony
1,8300,Vidyanagar
2,7000,Dr A.S. Rao Nagar
2,6500,"Boduppal, NH"
2,18500,"Manikonda, Outer Ring Road"
2,11000,"Alkapuri, LB Nagar, NH"
1,7000,Vidyanagar
2,18000,"Kukatpally, NH"
2,11000,Fair Lands
2,13000,Suchitra Circle
2,9500,"Uppal, NH"
2,15000,Jubilee Hills
2,5500,Nagole
3,22000,Road #
2,17000,"Vivekananda Nagar, Kukatpally, NH"
3,13000,"Bachupally, Outer Ring Road"
3,25000,"Miyapur, NH"
2,15000,Attapur
3,35000,Kondapur
3,20000,Kompally
2,17000,Gachibowli phase
2,17000,"Gachibowli, Outer Ring Road"
2,7000,Sangareddy
2,15000,Masab Tank
2,28000,"Kattel Mandi, Abids"
3,18000,"Miyapur, NH"
2,25000,Attapur
3,30000,"Gopalnagar Society, Hafeezpet"
2,35000,"Kukatpally, NH"
2,20000,"Gagan Mahal, Himayath Nagar, NH"
2,16000,"Sai Nagar-Kompally, NH"
3,15000,"Surya Nagar Colony, Secunderabad, Medchal Road"
2,7500,Meerpet
2,25000,Attapur
2,27000,Masab Tank
2,16000,Nizampet
2,33000,Jagruthi Colony
3,50000,"Gachibowli, Outer Ring Road"
2,20000,Adibatla
3,35000,"Gachibowli, Outer Ring Road"
2,25000,Financial District
3,37000,Kakatiya Hills madhapur
2,20500,"Old Nallakunta, New Nallakunta"
2,10000,"Sun City, Bandlaguda, Chevella Road"
2,7500,Narapally
3,8000,Medipally
2,6000,Boduppal Dwaraka nagar
2,7000,Balapur
2,18000,Narayanaguda main road
2,15000,Fort View Colony
3,18000,Hyderabad
2,21000,Begumpet
2,25000,Suchitra Circle
3,22000,"Dilsukhnagar, NH"
3,24000,Anjaneyanagar Colony moosapet
2,20000,Gandhi Nagar-Boiguda
2,6000,Karimnagar
1,8000,"Hafeezpet, NH"
3,20000,Hyderabad
3,35000,"Aparna Hill park Silver oaks, Chandanagar, NH"
3,22000,Mettuguda
3,27000,"Kaithalapur, Borabanda"
2,15000,Toli Chowki
2,9000,Hyderabad
3,15200,Toli Chowki
3,12000,Nagole
2,9000,Bandlaguda Jagir
2,10000,Sainikpuri
3,18000,"Hyder Shah Kote, Chevella Road"
3,16000,"Ramnagar Gundu, Adikmet, NH"
2,34000,"My Home Avatar, Narsingi, Outer Ring Road"
3,30000,"Tanasha Nagar, Outer Ring Road"
3,18500,Bowenpally
2,20000,SD Road
3,15000,"Dullapally, NH"
3,25000,"Kukatpally, NH"
2,11000,Vidyut Nagar
2,8000,Aminpur
2,25000,Chikkadpally
2,9500,Meerpet
1,25000,"Banjara Hills, NH"
2,10000,Attapur
3,13000,"Tellapur, Outer Ring Road"
2,27000,"Gachibowli, Outer Ring Road"
3,15000,"Vanasthalipuram, NH"
2,10000,Bandlaguda Jagir
2,10000,"Hyder Shah Kote, Chevella Road"
3,38000,"Gachibowli, Outer Ring Road"
2,20500,"Jalvayu Tower, Gandhi Nagar, Kavadiguda, NH"
2,14000,"Chandanagar, NH"
2,22000,"Red Hills, Lakdikapul, NH"
3,16000,Nizampet
3,38000,"Financial District, Nanakram Guda"
3,20000,Brindavan Colony-Toli Chowki
2,30000,"Raghavendra Colony, NH"
2,23000,"Himayath Nagar, NH"
2,13000,Nizampet
2,25000,Kondapur
2,15000,New Nallakunta
3,20000,Brindavan Colony-Toli Chowki
2,14000,New Nallakunta
3,26000,"Sanjeeva Reddy Nagar, NH"
3,17000,"Arvind Nagar Colony, Toli Chowki"
2,15000,Singapore
3,15000,Attapur
2,18000,"Kukatpally, NH"
1,14000,Kondapur
2,13000,Toli Chowki
2,15000,Mehdipatnam
2,8500,OU Colony
3,25000,"Manikonda, Outer Ring Road"
2,16500,Mitapur
2,15500,Nizampet Road
2,9000,"Safilguda, Secunderabad"
3,19500,"Hyder Nagar, NH"
2,16500,TulasinagarH.M.T hillsjntukphb
3,15000,Kanchan Bagh
3,27000,"Kukatpally, NH"
3,44000,Himayath Nagar
2,22000,"Narsingi, Outer Ring Road"
3,18000,Asif Nagar
2,30000,"Narsingi, Outer Ring Road"
2,6000,Sangareddy
3,20000,Miyapur ground floor
3,15000,Fort View Colony
3,45000,"Financial District, Nanakram Guda"
2,9000,"Sri Sai Varshith Residency,  			            	 	                	 	                		 					            							          							         	Beeramguda, Ramachandra Puram, NH"
2,19500,Hyderabad
2,9000,"Poojitha enclave,Bachupally"
3,25000,"Hafeezpet, NH"
10,10000,Kothapet
2,10000,Padmanagar Phase
3,25000,Attapur
3,13000,Sainikpuri
3,37500,"Gachibowli, Outer Ring Road"
2,20000,Banjara Hills Road No
2,20000,Sahibabad
3,18000,"Madina Colony, Falaknuma"
2,29000,"My Home Avatar,  			            	 	                	 	                		 					            							          							           							         	Puppalaguda,Narsingi,Gachibowli"
3,20000,Tolli Chowki
2,16000,Himayath Nagar
2,13500,Mehdipatnam Padmanabha Nagar
2,11000,"Moula Ali, Moula Ali Road"
2,12000,"Rajendra Nagar, Outer Ring Road"
3,17500,Bandlaguda
2,13000,Bandam Kommu
3,35000,Kondapur
2,10000,"Beeramguda, Ramachandra Puram, NH"
2,30000,"Narsingi, Outer Ring Road"
3,22000,"Deepthisri Nagar, NH"
2,16000,Tolli Chowki
3,15000,Nallakunta
3,10000,"Sai Homes, Peerzadiguda"
2,18500,"Chintal, NH"
3,15000,"Defence Colony, Secunderabad"
2,22000,Vinayak Nagar
2,15000,"Moula Ali, Moula Ali Road"
3,17000,Friends Colony
2,14000,Toli Chowki
2,8500,Meerpet
3,40000,"Gachibowli, Outer Ring Road"
2,30000,"Mythri Nagar, Hafeezpet, NH"
2,13000,"Secunderabad, Rashtrapati ROAd"
3,50000,"Banjara Hills, NH"
3,25000,"Khairatabad, NH"
3,25000,Appa junction
3,35000,"Khairatabad, NH"
2,6500,Karimnagar
2,8000,rtc cross road
1,18000,Gopanapalli
2,20000,MIGH Colony-Mehdipatnam
1,8700,Santosh
2,15000,Attapur
3,38000,Kompally
3,40000,"Banjara Hills, NH"
3,30000,"Manikonda, Outer Ring Road"
3,37000,"Gachibowli, Outer Ring Road"
2,15000,"LB Nagar, NH"
4,38000,"Ameerpet, NH"
1,7500,"Uppal, NH"
2,12000,"Uppal, NH"
2,23000,"Kokapet, Outer Ring Road"
3,20000,Manikonda
3,18000,"Alkapur Township, Manikonda, Outer Ring Road"
1,10000,Nalanda Nagar
3,16000,New Nallakunta
3,35000,"CMC Enclave, Kondapur"
2,24000,Kondapur
2,14500,"Aarambh Township, Chandanagar, NH"
1,9000,"Punjagutta, NH"
2,13000,Nizampet
3,17000,"Madinaguda, Hafeezpet, NH"
2,18000,"Venkata Ramana Colony, Nagole"
3,32000,Kondapur
1,7000,"Ameerpet, NH"
2,16500,Begumpet
1,6500,Bachupally
1,7500,"Beeramguda, Ramachandra Puram, NH"
2,10000,"Upparpally, Hyderabad Expressway"
2,26000,"Srinija Gayatri Hills, Gachibowli, Outer Ring Road"
3,15000,Nizampet
2,11000,"The Legend Vittalwadi, Narayanguda"
2,30000,"P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road"
2,8500,Meerpet
3,30000,"Saptagiri Colony, Kukatpally, NH"
2,11000,"LB Nagar, NH"
3,23000,"Kukatpally, NH"
2,30000,"My Home Avatar, Narsingi, Outer Ring Road"
2,15000,Masab Tank
2,18000,Nizampet
2,12000,"Rajiv Gandhi Nagar Colony, Nizampet"
2,14000,"Gandhi Nagar, Kavadiguda, NH"
1,6000,Lalaguda
2,22000,"Yousufguda, NH"
3,21000,"Narsingi, Outer Ring Road"
2,8000,Hyderabad
2,15000,"LB Nagar, NH"
3,25000,"Punjagutta, NH"
2,10000,Syed Nagar
2,15000,Hyderaguda-Attapur
2,12000,Gajularamaram
3,26000,Sri Nagar Colony
2,7000,Ramakrishnapuram-Neredmet
2,22000,"Srinija Gayatri Hills, Gachibowli, Outer Ring Road"
2,12000,"Dilsukhnagar, NH"
2,9000,Alwal
2,9000,"Sri Vasavi Siva Nagar Colony, Secunderabad"
2,5000,Maruthi Nagar
3,19500,Attapur
3,15000,ECIL
2,25000,"Manikonda, Outer Ring Road"
3,20000,"Kukatpally, NH"
2,8500,Chandanagar
3,7500,Gajularamaramm
3,50000,"P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road"
2,34000,Nanakram Guda
2,23000,Kondapur
2,8500,"Murad Nagar, Lal Darwaza, Falaknuma Road"
2,15000,Attapur
2,12000,Teja Colony
1,8000,Bhagya Nagar Colony
3,15000,Pragathi Nagar
3,21000,"Kukatpally, NH"
2,19000,Suchitra Circle
2,15000,Hyderabad
2,20000,"Madhura Nagar, NH"
3,27000,"Aparna CyberZon, Nallagandla, Serilingampally"
3,38000,Hyderguda
3,30000,Rainbow Vistas Rock Gardens
3,35000,"Patrika Nagar, Hitech City City"
2,13500,"Akshay Homes, Nagole"
2,15000,"Moosarambagh, NH"
3,10000,"Hayathnagar, NH"
2,15000,"Giridhari Murari, Appa junction"
1,9500,Bachupally
2,12000,Dr A.S. Rao Nagar
3,49000,"Mount Meru, Banjara Hills, NH"
2,14000,"Durgabai Deshmukh Colony, Amberpet"
3,20000,Shaikpet
3,23000,"Shanta Sriram Sonata, New Nallakunta"
3,15000,"ARK Homes, Bolarum, Medchal Road"
3,23000,"Hyder Nagar, NH"
3,22000,Osman Nagar
3,40000,Begumpet
3,22000,"Old Malakpet, NH"
3,16500,Aminpur
3,15000,"Gulshan Colony, Qutub Shahi Tombs"
3,35000,"Stonehenge, Appa junction"
1,12500,Toli
3,20000,"Gulshan Colony, Qutub Shahi Tombs"
1,10500,"Hafeezpet, NH"
2,16000,Attapur
2,7500,Nagaram
3,48000,"Lanco Hills, Manikonda, Outer Ring Road"
2,11000,Hyder Nagar
3,20000,Nizampet
3,15000,New Nallakunta
3,14000,"Janapriya Arcadia, Alwal"
2,12000,"Bachupally, Outer Ring Road"
2,15000,Aminpur
2,15000,"NSK Bliss Meadows, Madinaguda, Hafeezpet, NH"
4,45000,"Jains Carlton Creek, Gachibowli, Outer Ring Road"
3,23000,"Tellapur, Outer Ring Road"
2,14000,Nizampet
3,40000,Narayanguda
2,25000,Moti Nagar
3,36000,"Sanath Nagar, NH"
3,16000,"SV Brindavanam, Boduppal, NH"
1,12000,"Ameerpet, NH"
2,12500,Kothapet
2,10000,Dr A.S. Rao Nagar
3,15000,"Miyapur, NH"
3,20500,"Mayflower Heights, Mallapur"
3,25000,"RDB Coconut Grove, Miyapur, NH"
2,14500,Suchitra Circle
2,15000,"Langar Houz House South, Hyderabad Expressway"
3,32000,Hitech City City
2,32000,"SK Wonders, Kondapur"
2,13000,Toli Chowki
3,20000,Nizampet
2,9500,Vayupuri
3,35000,"The Legend, Himayath Nagar, NH"
2,9000,"Saket, Secunderabad"
3,16000,"Old Malakpet, NH"
3,30000,"Keesara Homes, Domalguda, Himayath Nagar, NH"
3,16000,"Neknampur, Manikonda, Outer Ring Road"
2,44000,"Golf Edge, Gachibowli, Outer Ring Road"
3,50000,"Jains Ravi Gayathri Heights, Hitech City City"
3,22000,"Miyapur, NH"
2,14000,Attapur
2,15000,Toli Chowki
1,6000,"Ramanthapur, NH"
3,15000,"Upparpally, Hyderabad Expressway"
3,33000,"Ashok Nagar, Himayath Nagar"
2,12000,"Venkata Sai Enclave, Nizampet"
1,12000,Langar Houz
4,40000,"Kokapet, Outer Ring Road"
2,12000,Old Bowenpally
2,16000,Jawahar Nagar-Chikkadpally
2,18000,"Kalyan Nagar, New Malakpet, NH"
2,11000,"Hyder Shah Kote, Chevella Road"
2,12000,"Sun City, Bandlaguda, Chevella Road"
3,18000,"Kukatpally Housing Board Colony, NH"
3,14000,Toli Chowki
3,29000,"Sri Hemadurga Sivahills,  			            	 	                	 	                		 					            							          							         	Puppalaguda"
2,13000,"Ashok Nagar-Ramachandra Puram, NH"
3,22000,"Hima Shiva,  			            	 	                	 	                		 					            							          							         	New Nallakunta"
3,45000,"Shanthinikethan,  			            	 	                	 	                		 					            							          							         	Whitefields, Hitech City"
3,26000,"Chitrapuri Colony,  			            	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road"
3,27000,"Barkatpura, Kachiguda, NH"
4,23000,"Aziz Bagh Colony, Toli Chowki"
3,18500,"Amulya Fortune,  			            	 	                	 	                		 					            							          							         	Miyapur, NH"
2,20000,Ravi Colony
3,17000,"Aakriti Honey dew,  			            	 	                	 	                		 					            							          							         	Tellapur, Outer Ring Road"
1,8500,Manikonda
2,17000,"Nallagandla, Serilingampally"
2,18000,Mehdipatnam
3,16000,"Prajapati Elite,  			            	 	                	 	                		 					            							          							         	Miyapur, NH"
2,15000,Bandlaguda Jagir
2,10000,"Old Malakpet, NH"
2,8000,Aminpur
3,30000,"Aditya Imperial Heights,  			            	 	                	 	                		 					            							          							         	Hafeezpet, NH"
2,27000,"Shreya Elegance,  			            	 	                	 	                		 					            							          							         	Manikonda, Outer Ring Road"
2,10000,"Sun City, Bandlaguda, Chevella Road"
1,15000,"Red Hills, Lakdikapul, NH"
3,20000,"Gachibowli, Outer Ring Road"
3,13000,"Upparpally, Hyderabad Expressway"
2,11000,"Nallagandla, Serilingampally"
2,10000,"Red Hills, Lakdikapul, NH"
1,7000,Vidyanagar
2,8000,"Chaitanyapuri, Kothapet"
2,10000,"Kukatpally, NH"
1,12000,"Banjara Hills, NH"
3,20000,"Banjara Hills, NH"
3,21000,Mehdipatnam
3,15000,"Tellapur, Outer Ring Road"
2,10000,"Kukatpally, NH"
2,15000,Santosh Nagar-Mehdipatnam
2,11000,"Malakpet, NH"
2,14500,"Madinaguda, Hafeezpet, NH"
2,7500,Karmanghat
3,26000,"Banjara Hills, NH"
2,8000,"Neknampur, Manikonda, Outer Ring Road"
3,20000,"Manikonda, Outer Ring Road"
2,12000,Nizampet
2,14000,Kalyan Nagar-Moti Nagar
2,7500,"Kukatpally, NH"
2,27000,"Gachibowli, Outer Ring Road"
2,11000,Moti Nagar
2,18000,Puppalaguda
2,13500,"Pragathi Nagar, Kukatpally"
2,13000,"Manikonda, Outer Ring Road"
3,40000,"Banjara Hills, NH"
3,11000,Janapriya Utopia
3,15000,"Chandanagar, NH"
2,16000,"Ameerpet, NH"
3,15000,Suchitra Circle
2,16000,"Banjara Hills, NH"
2,15000,Masab Tank
3,35000,"Venkata Sai Residency,  			            	 	                	 	                		 					            							          							         	Kondapur"
2,8500,"Dilsukhnagar, NH"
3,27000,Madhapur
1,10000,Moti Nagar RWA
3,18000,"Banjara Hills, NH"
2,15000,Humayun Nagar
3,20000,Toli Chowki
3,20000,Puppalaguda
2,20000,"Manikonda, Outer Ring Road"
3,9250,Bowenpally
2,14000,"Jaya Nagar, Kukatpally, NH"
2,10000,Sivaji Nagar-Chandanagar
3,16000,"Armsburg My Space,  			            	 	                	 	                		 					            							          							         	Kompally"
2,12000,"Sun City, Bandlaguda, Chevella Road"
2,14000,"Kukatpally, NH"
3,18000,"Manikonda, Outer Ring Road"
3,16000,"Manikonda, Outer Ring Road"
2,7500,"Hydershakote, Bandlaguda, Chevella Road"
2,13500,Bandari Layout
3,16000,Amberpet
2,13000,"Kukatpally Housing Board Colony, NH"
2,22000,Kondapur
1,10000,Narsingi
2,14500,Humayun Nagar
2,20000,Moti Nagar
3,22000,"Amrutha Avenue, Manikonda, Outer Ring Road"
2,15500,Narayanguda
2,12000,Moti Nagar
2,9000,Neredmet
3,30000,Kondapur
2,23000,"Domalguda, Himayath Nagar, NH"
2,8000,"Bachupally, Outer Ring Road"
2,14000,"Kachiguda, NH"
2,11000,"LB Nagar, NH"
3,35000,Hitech City City
1,5000,Hyderaguda-Attapur
2,10000,Hasmathpet
2,12000,"Miyapur, NH"
2,28000,"Gachibowli, Outer Ring Road"
1,10000,"Hafeezpet, NH"
2,15000,"Madinaguda, Hafeezpet, NH"
3,20000,Shaikpet
2,18000,"Kukatpally Housing Board Colony, NH"
1,6000,Begumpet
2,9000,"Sri Sai Varshith Residency, Beeramguda, Ramachandra Puram, NH"
2,22000,Q City
2,15000,KPHB Road
2,20000,Kondapur
2,12000,Gulistan Apartments
3,13000,"Salar Jung Colony, Toli Chowki"
2,16000,Tarnaka
2,13000,Bandam Kommu
2,15000,"Park Stone, Attapur"
2,25000,"Narsingi, Outer Ring Road"
2,16500,"Somajiguda, NH"
2,5000,"Sai Darshan, HMT Nagar, Secunderabad"
3,40000,"My Home Vihanga, Gachibowli, Outer Ring Road"
3,20000,"Jains Amrutha, Vengal Rao Nagar, NH"
2,10000,"SBC Pristine Place, Gajularamaramm"
2,10000,Uppal Metro
1,11000,"Yousufguda, NH"
2,30000,"Gachibowli, Outer Ring Road"
3,35000,"Jains Carlton Creek, Gachibowli, Outer Ring Road"
2,21000,"Ramky One Marvel, Kukatpally, NH"
3,45000,"Green Terraces, Whitefields, Hitech City"
1,13000,Chhota Anjaiah Nagar
1,7500,Bharat Nagar
1,13000,Chhota Anjaiah Nagar
3,30000,"Rainbow Vistas Rock Gardens, Hitech City City"
1,11000,"Kukatpally Housing Board Colony, NH"
3,35000,"Adi Emerald, Kondapur"
3,26000,"Tulip Residency, Kondapur"
2,11000,Vasavi Nagar-Karkhana
3,20000,Tarnaka
2,15000,"Pragathi Nagar, Kukatpally"
3,24000,"Srinagar Colony, Old Malakpet, NH"
2,15000,"Happy Homes Colony, Hyderabad Expressway"
2,18000,Suchitra Circle
3,25000,"Srinagar Colony, Old Malakpet, NH"
3,23000,"Ashok Nagar, Himayath Nagar"
3,32000,"Aditya DSR LakeSide, Madhava Reddy Colony, Gachibowli"
1,8000,"Beeramguda, Ramachandra Puram, NH"
1,8000,"Telecom Nagar, Gachibowli"
1,6000,ALEAP
1,11000,Kondapur
2,14000,Attapur
1,14000,Kondapur
1,5000,"Uppal, NH"
2,16000,New Allapur
2,15000,"Punjagutta, NH"
2,26000,"Mantri Celestia, Gachibowli, Outer Ring Road"
2,14000,"Chandanagar, NH"
2,12000,Jubilee Hills
3,35000,"Aditya Sunshine, Hitech City City"
3,21000,"Lakshmi Royal Castle, Nallagandla, Serilingampally"
2,27000,"Mantri Celestia, Gachibowli, Outer Ring Road"
2,15000,"Happy Homes Colony, Hyderabad Expressway"
2,12000,"Sun City, Bandlaguda, Chevella Road"
2,10000,"Swathi Pooja Homes, Dilsukhnagar, NH"
3,22000,"Janapriya Metropolis, Moti Nagar"
3,30000,"Indu Fortune Fields apartments, Hitech City City"
2,20000,"Lingampally-Serilingampally, NH"
3,34000,"Vertex Panache, Gachibowli, Outer Ring Road"
1,10500,"Lingampally-Serilingampally, NH"
2,15000,KPHB Road
1,10000,"Miyapur, NH"
3,14000,"Pragathi Nagar, Kukatpally"
3,16000,"Habsiguda, NH"
2,12000,"Umas Aadya and Arha Mensions, Kukatpally, NH"
