Column1,Bhk,Furnishing,Tennants,Area,Price,Locality
310,3,Semi-Furnished,Family,2265 sqft,40000,"Rainbow Vistas Rock Gardens, Hitech City City"
311,3,Unfurnished,Bachelors,read more,30000,Kondapur
312,2,Semi-Furnished,Family,1150 sqft,17000,"Gayatri Hills, Jubilee Hills"
313,3,Semi-Furnished,Bachelors,NaN,25000,West
314,2,Semi-Furnished,Bachelors/Family,1260 sqft,25000,"Ayyappa Society, Madhapur"
315,3,Unfurnished,Bachelors/Family,1558 sqft,28000,"Indu Fortune Fields apartments, Hitech City City"
316,2,Semi-Furnished,Bachelors/Family,1345 sqft,20000,Kondapur
317,3,Semi-Furnished,Bachelors/Family,1380 sqft,15000,Dammaiguda
318,2,Semi-Furnished,Bachelors/Family,1100 sqft,20000,"Basheer Bagh, NH"
319,3,Semi-Furnished,Bachelors,2300 sqft,45000,Masjid Banda
320,3,Semi-Furnished,Family,1650 sqft,30000,"Rethibowli, Mehdipatnam"
321,3,Semi-Furnished,Family,1545 sqft,35000,"Vajras Jasmine County, Financial District, Nanakram Guda"
322,1,Unfurnished,Bachelors,East Facing Property,13000,Kondapur
323,1,Unfurnished,Bachelors/Family,East Facing Property,10000,Kondapur
324,2,Unfurnished,Bachelors,NaN,20000,"Hemadurga Towers, Miyapur, NH"
325,3,Semi-Furnished,Bachelors/Family,NaN,44000,Rajapushpa Atria
326,2,Furnished,Bachelors/Family,read more,31000,Aparna Cyber Commune
327,2,Semi-Furnished,Family,1295 sqft,30000,"Aparna Serene Park, Masjid Banda"
328,2,Furnished,Bachelors/Family,1262 sqft,41000,"Ashvita, Hitech City City"
329,3,Semi-Furnished,Family,1600 sqft,31000,"Aparna CyberZon, Nallagandla, Serilingampally"
330,3,Semi-Furnished,Bachelors,2345 sqft,36000,"ACE Atlantis, Khaja Guda, Outer Ring Road"
331,2,Unfurnished,Bachelors,1100 sqft,29000,Jubilee Hills
332,3,Semi-Furnished,Bachelors/Family,1550 sqft,23000,Narayanguda
333,1,Semi-Furnished,Bachelors,read more,15000,Kothaguda
334,3,Semi-Furnished,Bachelors/Family,NaN,40000,Aditya Empress Towers
335,3,Semi-Furnished,Bachelors,1800 sqft,28000,"Aditya Imperial Heights, Hafeezpet, NH"
336,3,Semi-Furnished,Bachelors/Family,2500 sqft,35000,Hitech City City
337,3,Semi-Furnished,Family,1854 sqft,45000,"Lodha Meridian, Kukatpally, NH"
338,3,Furnished,Family,2350 sqft,50000,"Nagarjuna Residency, P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road"
339,3,Semi-Furnished,Family,2400 sqft,45000,"Apurupa Avenue, Kavuri Hills, Madhapur"
340,3,Semi-Furnished,Bachelors/Family,1485 sqft,23000,Kondapur
341,2,Unfurnished,Bachelors/Family,900 sqft,16000,"Banjara Hills, NH"
342,4,Semi-Furnished,Bachelors/Family,2550 sqft,38000,"Ameerpet, NH"
343,3,Semi-Furnished,Bachelors/Family,2160 sqft,42000,"My Home Vihanga, Gachibowli, Outer Ring Road"
344,3,Furnished,Family,1628 sqft,26000,"PBEL City, Appa junction"
345,3,Semi-Furnished,Bachelors,read more,10000,
346,3,Unfurnished,Bachelors,2200 sqft,50000,"Aparna Aura, Jubilee Hills"
347,4,Semi-Furnished,Bachelors/Family,2300 sqft,50000,"Jains Carlton Creek, Gachibowli, Outer Ring Road"
348,3,Semi-Furnished,Bachelors/Family,2400 sqft,48000,"Ramky Towers Elite, Madhapur"
349,3,Semi-Furnished,Family,1600 sqft,25000,"Shanthi Nagar-Kukatpally, NH"
350,3,Semi-Furnished,Bachelors,1800 sqft,22000,"Sanjeeva Reddy Nagar, NH"
351,3,Semi-Furnished,Bachelors/Family,1300 sqft,25000,"Surya Nagar, Toli Chowki"
352,3,Unfurnished,Bachelors/Family,1834 sqft,40000,"Gachibowli, Outer Ring Road"
353,2,Unfurnished,Bachelors/Family,1250 sqft,18000,West Marredpally
354,2,Semi-Furnished,Bachelors,1200 sqft,17000,"Samata Colony, Toli Chowki"
355,3,Unfurnished,Bachelors,2200 sqft,50000,"Banjara Hills, NH"
356,3,Semi-Furnished,Bachelors/Family,1504 sqft,18000,"Manikonda, Outer Ring Road"
357,3,Furnished,Bachelors/Family,1900 sqft,45000,Kondapur
358,3,Semi-Furnished,Family,1615 sqft,45000,"Aparna Serene Park, Kondapur"
359,2,Semi-Furnished,Bachelors/Family,907 sqft,18000,"Solanki Gulmohar, Brahman Wadi, Begumpet"
360,2,Semi-Furnished,Bachelors/Family,1233 sqft,17500,Attapur
361,3,Semi-Furnished,Family,2000 sqft,14000,"Saroornagar, NH"
362,2,Semi-Furnished,Bachelors/Family,1800 sqft,15000,Fort View Colony
363,3,Semi-Furnished,Bachelors,2092 sqft,35000,"Morning Raga, Alkapur Township, Manikonda, Outer Ring Road"
364,1,Unfurnished,Bachelors/Family,read more,7500,"Uppal, NH"
365,3,Semi-Furnished,Bachelors/Family,1210 sqft,13000,Nagaram
366,2,Unfurnished,Bachelors/Family,6000 sqft,17000,"Chandanagar, NH"
367,3,Furnished,Family,1650 sqft,25000,"Surya Sravanthi Apartment, Kothaguda"
368,2,Furnished,Bachelors/Family,1140 sqft,15000,"Lotus Avenues, Miyapur, NH"
369,3,Semi-Furnished,Bachelors/Family,1650 sqft,12000,"Saroornagar, NH"
370,2,Semi-Furnished,Bachelors/Family,1217 sqft,30000,"Kokapet, Outer Ring Road"
371,2,Furnished,Bachelors/Family,1350 sqft,39000,"Kokapet, Outer Ring Road"
372,2,Furnished,Family,1230 sqft,26000,Police Colony-Kondapur
373,3,Semi-Furnished,Bachelors/Family,1685 sqft,30000,"Rajapushpa Atria, Kokapet, Outer Ring Road"
374,3,Semi-Furnished,Bachelors,1800 sqft,18000,Bandlaguda Jagir
375,2,Semi-Furnished,Bachelors/Family,1514 sqft,20000,"Jeedimetla, NH"
376,3,Semi-Furnished,Bachelors/Family,1450 sqft,15000,"Bachupally, Outer Ring Road"
377,2,Semi-Furnished,Bachelors/Family,1200 sqft,20000,"Durgabai Deshmukh Colony, Amberpet"
378,3,Semi-Furnished,Family,1655 sqft,30000,"Nallagandla, Serilingampally"
379,2,Unfurnished,Bachelors,1413 sqft,13000,"Malakpet, NH"
380,2,Furnished,Bachelors,1010 sqft,28500,"Malaysian Township, Kukatpally, NH"
381,2,Unfurnished,Bachelors/Family,read more,14500,IDPL Colony
382,3,Semi-Furnished,Family,1500 sqft,28000,"Hafeezpet, NH"
383,3,Unfurnished,Bachelors/Family,1685 sqft,27000,"Accurate Wind Chimes, Narsingi"
384,2,Unfurnished,Bachelors/Family,read more,8500,"Beeramguda, Ramachandra Puram, NH"
385,3,Semi-Furnished,Bachelors,1024 sqft,30000,"Aditya Imperial Heights, Hafeezpet, NH"
386,3,Furnished,Family,1685 sqft,45000,"Gachibowli, Outer Ring Road"
387,3,Bachelors/Family,3,1600 sqft,30000,"Manikonda, Outer Ring Road"
388,3,Unfurnished,Bachelors/Family,2050 sqft,36000,"Aditya Gardenia, Banjara Hills, NH"
389,2,Semi-Furnished,Bachelors/Family,1314 sqft,30000,"My Home Avatar, Narsingi, Outer Ring Road"
390,1,Unfurnished,Bachelors/Family,read more,8000,Charminar
391,3,Semi-Furnished,Family,1410 sqft,20000,"SMR Vinay Harmony County, Appa junction"
392,3,Unfurnished,Bachelors/Family,1850 sqft,36000,"Aditya Gardenia, Banjara Hills, NH"
393,3,Furnished,Bachelors/Family,read more,30000,"Aditya Imperial Heights, Hafeezpet, NH"
394,1,Semi-Furnished,Bachelors,East Facing Property,15000,Kondapur
395,2,Unfurnished,Bachelors,1200 sqft,14000,Musheerabad
396,3,Semi-Furnished,Bachelors,1525 sqft,25000,Friends Colony
397,2,Semi-Furnished,Family,1150 sqft,18000,khairatabad
398,2,Semi-Furnished,Bachelors/Family,1650 sqft,15000,"Golden Heights Colony, Janachaitanya colony, Hyderabad Expressway"
399,2,Semi-Furnished,Bachelors/Family,1200 sqft,13000,Chilakalguda
400,3,Furnished,Bachelors/Family,1580 sqft,50000,"Habsiguda, NH"
401,2,Unfurnished,Bachelors/Family,950 sqft,8500,"B N Reddy Nagar, Nagarjuna Sagar Road"
402,3,Semi-Furnished,Bachelors/Family,1678 sqft,16000,"Upparpally, Hyderabad Expressway"
403,2,Unfurnished,Bachelors,1175 sqft,12000,"Anandbagh, Secunderabad, Moula Ali Road"
404,1,Unfurnished,Bachelors/Family,read more,7000,Langar Houz
405,3,Semi-Furnished,Bachelors,1632 sqft,25000,"LB Nagar, NH"
406,2,Unfurnished,Bachelors,1000 sqft,15000,"Langar Houz House South, Hyderabad Expressway"
407,4,Semi-Furnished,Bachelors,1650 sqft,23000,Toli Chowki
408,3,Semi-Furnished,Family,1690 sqft,37000,"My Home Vihanga, Gachibowli, Outer Ring Road"
409,1,Unfurnished,Bachelors/Family,East Facing Property,15000,"Mythri Nagar, Hafeezpet, NH"
410,3,Semi-Furnished,Bachelors/Family,1900 sqft,26000,"Hill County Township, Bachupally, Outer Ring Road"
411,3,Furnished,Bachelors,1648 sqft,24000,"TNR Sulakshna, LB Nagar, NH"
412,3,Semi-Furnished,Family,1570 sqft,17000,"Manasa Vensa Ashraya, Saroornagar, NH"
413,3,Semi-Furnished,Family,1490 sqft,30000,"Aditya Imperial Heights, Hafeezpet, NH"
414,4,Unfurnished,Family,2675 sqft,50000,"Ashoka Liviano, P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road"
415,3,Furnished,Bachelors/Family,1660 sqft,26000,"East Oak Luxury Apartments, Pocharam, NH"
416,3,Furnished,Bachelors/Family,1490 sqft,35000,"Aditya Imperial Heights, Hafeezpet, NH"
417,2,Unfurnished,Bachelors/Family,650 sqft,8500,"LIG Apartments, Kukatpally, NH"
418,3,Furnished,Bachelors/Family,1550 sqft,40000,Narayanguda
419,2,Furnished,Bachelors/Family,1200 sqft,15000,"Devi Bagh, Bahadurpura"
420,3,Semi-Furnished,Family,1410 sqft,23000,"Tellapur, Outer Ring Road"
421,2,Semi-Furnished,Bachelors/Family,1200 sqft,21000,"Sriramnagar,Kothaguda"
422,3,Semi-Furnished,Bachelors/Family,1530 sqft,28000,"Vazhraa Nirmaan Pushpak, Nizampet"
423,2,Bachelors/Family,2,1500 sqft,25000,P&T Colony
424,3,Semi-Furnished,Family,1725 sqft,30000,"Honer Vivantis, Nallagandla"
425,3,Unfurnished,Bachelors/Family,read more,15000,Sri Mahalakshmi Residency
426,3,Furnished,Bachelors/Family,1800 sqft,40000,Attapur
427,3,Semi-Furnished,Family,1520 sqft,28000,West Marredpally
428,2,Furnished,Bachelors,1600 sqft,11500,Almasguda
429,3,Semi-Furnished,Bachelors,1350 sqft,15000,"Sun City, Bandlaguda, Chevella Road"
430,3,Furnished,Bachelors/Family,2200 sqft,50000,"Whistling Woods, Kokapet, Outer Ring Road"
431,2,Furnished,Bachelors,1200 sqft,25000,Toli Chowki
432,2,Furnished,Bachelors,1500 sqft,30500,"Khaja Guda, Outer Ring Road"
433,3,Unfurnished,Bachelors/Family,1643 sqft,25000,"RV Kaustubha, Kompally"
434,3,Furnished,Bachelors/Family,1505 sqft,40000,"Aparna Serene Park, Kondapur"
435,2,Unfurnished,Bachelors/Family,1050 sqft,8000,"Bachupally, Outer Ring Road"
436,3,Semi-Furnished,Bachelors/Family,read more,40000,Vajras Jasmine County
437,3,Semi-Furnished,Family,1600 sqft,22000,"Advocates Colony, Himayath Nagar"
438,2,Furnished,Bachelors/Family,1050 sqft,28000,Police Colony-Kondapur
439,3,Semi-Furnished,Family,1920 sqft,27000,"Hyder Nagar, NH"
440,3,Semi-Furnished,Bachelors/Family,1300 sqft,15000,Gajularamaramm
441,3,Semi-Furnished,Bachelors/Family,1550 sqft,16000,Madeenaguda
442,2,Bachelors/Family,2,1275 sqft,20000,"Madinaguda, Hafeezpet, NH"
443,2,Furnished,Bachelors/Family,1200 sqft,30000,"P Janardhan Reddy Nagar, Gachibowli, Outer Ring Road"
444,2,Furnished,Family,1200 sqft,28000,"Alkapur Township, Manikonda, Outer Ring Road"
445,3,Semi-Furnished,Bachelors,1525 sqft,23000,"SMR Sowmya, West Marredpally"
446,2,Furnished,Bachelors,1100 sqft,26000,Toli Chowki
447,3,Semi-Furnished,Bachelors/Family,1500 sqft,15000,"Bommarillu Homes, Madhura Nagar, Nizampet"
448,3,Semi-Furnished,Bachelors/Family,1800 sqft,17500,"Sapthagiri Enclave, Bachupally, Outer Ring Road"
449,3,Semi-Furnished,Family,1250 sqft,24000,"Malaysian Township, Kukatpally, NH"
450,2,Semi-Furnished,Bachelors/Family,1314 sqft,30000,"Narsingi, Outer Ring Road"
451,4,Semi-Furnished,Bachelors,1850 sqft,38000,Begumpet
452,2,Semi-Furnished,Bachelors/Family,1314 sqft,30000,"My Home Avatar, Narsingi, Outer Ring Road"
453,3,Unfurnished,Family,1475 sqft,15000,Sivaji Nagar-Chandanagar
454,2,Unfurnished,Bachelors/Family,1090 sqft,30000,"Lakdikapul, NH"
455,2,Unfurnished,Bachelors/Family,150 sqft,9000,"Uppal, NH"
456,3,Semi-Furnished,Bachelors,1400 sqft,25000,"Dundoo Classic Tower, Boiguda"
457,3,Semi-Furnished,Bachelors/Family,1365 sqft,15000,"Jai Jawahar Nagar, Secunderabad"
458,2,Semi-Furnished,Bachelors/Family,970 sqft,12000,Ashgoli
459,2,Unfurnished,Bachelors,1150 sqft,12000,Adibatla
460,1,Furnished,Family,read more,25000,Kondapur
461,3,Semi-Furnished,Bachelors/Family,1350 sqft,18000,Toli Chowki
462,2,Furnished,Bachelors/Family,900 sqft,16000,"Hafeezpet, NH"
463,3,Semi-Furnished,Bachelors/Family,1550 sqft,19500,"Mayflower Heights, Mallapur"
464,3,Furnished,Bachelors/Family,1100 sqft,9500,"Bandlaguda, Nagole, Srisailam Highway"
465,2,Unfurnished,Bachelors/Family,1000 sqft,14000,"Gangaram, Chandanagar, NH"
466,3,Semi-Furnished,Bachelors/Family,1870 sqft,42000,"Vajras Jasmine County, Gachibowli, Outer Ring Road"
467,3,Semi-Furnished,Bachelors,2535 sqft,30000,"Patels Bright View, Yapral"
468,3,Unfurnished,Bachelors,1500 sqft,27000,"Secunderabad, Rashtrapati ROAd"
469,3,Semi-Furnished,Bachelors,1654 sqft,16000,"VSR Celestial Towers, Gajularamaramm"
470,3,Semi-Furnished,Family,2300 sqft,28000,"SMR Vinay Harmony County, Appa junction"
471,3,Furnished,Bachelors,"40,000 sqft",25000,"Chitrapuri Colony, Manikonda, Outer Ring Road"
472,3,Semi-Furnished,Bachelors/Family,2630 sqft,45000,"Hallmark KSN Residency, Kondapur"
473,3,Furnished,Bachelors/Family,1800 sqft,45000,"Vittal Rao Nagar, Hitech City City"
474,2,Semi-Furnished,Bachelors/Family,1275 sqft,20000,"NCL Sindhu, Satyam Enclave, Kompally, NH"
475,2,Unfurnished,Bachelors,1100 sqft,11000,"Manovikas Nagar, Secunderabad, NH"
476,3,Semi-Furnished,Bachelors/Family,1834 sqft,40000,"My Home Avatar, Narsingi, Outer Ring Road"
477,3,Semi-Furnished,Bachelors,1533 sqft,28000,"Ramanthapur, NH"
478,3,Semi-Furnished,Bachelors,1250 sqft,18000,"Pragathi Nagar, Kukatpally"
479,4,Unfurnished,Bachelors/Family,1500 sqft,9000,"Bandlaguda, Nagole, Srisailam Highway"
480,2,Unfurnished,Bachelors,900 sqft,8000,Patelguda
481,2,Semi-Furnished,Bachelors/Family,950 sqft,11000,Suchitra Road
482,3,Furnished,Bachelors/Family,1555 sqft,32000,"Hafeezpet, NH"
483,3,Furnished,Bachelors,1600 sqft,26000,"Green Field Colony, Secunderabad"
484,2,Semi-Furnished,Bachelors/Family,1101 sqft,14500,"Bachupally, Outer Ring Road"
485,3,Semi-Furnished,Bachelors/Family,2800 sqft,45000,Near Gachibowli Financial district.
486,3,Semi-Furnished,Bachelors/Family,1400 sqft,16500,"Moula Ali, Moula Ali Road"
487,3,Furnished,Bachelors/Family,2200 sqft,50000,Gachibowli (ORR junction)
488,2,Furnished,Bachelors/Family,1314 sqft,36000,"My Home Avatar, Narsingi, Outer Ring Road"
489,3,Unfurnished,Bachelors,1490 sqft,35000,"Aditya Nagar, Hafeezpet"
490,3,Semi-Furnished,Family,2200 sqft,32000,"SRI SAIRAM Towers, Indra Reddy Alwyn Colony, Miyapur, NH"
491,2,Furnished,Bachelors/Family,1130 sqft,18000,Adibatla
492,3,Semi-Furnished,Family,1875 sqft,40000,Shaikpet
493,3,Semi-Furnished,Bachelors/Family,1275 sqft,13000,"Gaghan Pahad, Rajendra Nagar, Outer Ring Road"
494,3,Unfurnished,Bachelors/Family,1510 sqft,22000,"Hafeezpet, NH"
495,3,Semi-Furnished,Bachelors,1800 sqft,30000,"Krishna Nagar, Yousufguda"
496,3,Semi-Furnished,Bachelors/Family,1500 sqft,12000,"Bachupally, Outer Ring Road"
497,2,Semi-Furnished,Bachelors/Family,1200 sqft,12000,Adibatla
498,2,Unfurnished,Bachelors/Family,1100 sqft,10000,"Malla Reddy Colony, Secunderabad"
499,3,Furnished,Bachelors/Family,1198 sqft,36000,"Mantri Celestia, Gachibowli, Outer Ring Road"
500,2,Unfurnished,Bachelors,1500 sqft,12000,"Buddha Nagar Colony, Boduppal"
501,2,Furnished,Bachelors/Family,850 sqft,25000,Mehdipatnam
502,2,Furnished,Bachelors/Family,850 sqft,28000,Mehdipatnam
503,2,Unfurnished,Bachelors/Family,600 sqft,15000,
504,3,Unfurnished,Bachelors,1600 sqft,15000,Dr A.S. Rao Nagar
505,2,Semi-Furnished,Bachelors/Family,1300 sqft,12000,"Bachupally, Outer Ring Road"
506,3,Furnished,Bachelors/Family,2400 sqft,30000,Marredpally
507,3,Semi-Furnished,Bachelors/Family,1660 sqft,18000,"Boduppal, NH"
508,2,Unfurnished,Bachelors/Family,1150 sqft,14000,Nizampet
509,3,Unfurnished,Bachelors/Family,1620 sqft,15000,"Fort View, Hydershakote, Bandlaguda, Chevella Road"
510,2,Furnished,Bachelors/Family,850 sqft,28000,Mehdipatnam
511,3,Semi-Furnished,Family,1400 sqft,18000,Nagole
512,2,Furnished,Bachelors/Family,850 sqft,30000,Hakimpet-Hyderabad
513,3,Unfurnished,Bachelors/Family,1375 sqft,22000,"Quadri Happy Homes Paradise, Amberpet"
514,2,Furnished,Family,1125 sqft,19000,Gajularamaramm
515,3,Semi-Furnished,Bachelors,1675 sqft,30000,"Ameerpet, NH"
516,3,Unfurnished,Bachelors/Family,1600 sqft,18000,"Rasoolpura, Mahatma Gandhi Road"
517,3,Family,2,1550 sqft,23000,KPHB Colony
518,3,Semi-Furnished,Bachelors/Family,1834 sqft,42000,"Narsingi, Outer Ring Road"
519,3,Furnished,Bachelors/Family,2000 sqft,24000,"Pocharam, NH"
520,3,Unfurnished,Bachelors/Family,1800 sqft,14000,"Boduppal, NH"
521,3,Unfurnished,Bachelors/Family,1600 sqft,16000,"Chandanagar, NH"
522,3,Semi-Furnished,Bachelors/Family,1400 sqft,25000,"Raghavendra Colony, NH"
523,3,Semi-Furnished,Bachelors/Family,1400 sqft,21500,Puppalaguda
524,3,Furnished,Bachelors,1600 sqft,40000,"My Home Avatar, Narsingi, Outer Ring Road"
525,2,Furnished,Bachelors,1162 sqft,30000,"Aliens Fast Track, Madhapur"
526,2,Unfurnished,Bachelors,1461 sqft,23000,"KKRs Fountainhead, Miyapur, NH"
527,3,Semi-Furnished,Bachelors/Family,2358 sqft,35000,"Pearl Celestial, Kokapet, Outer Ring Road"
528,2,Semi-Furnished,Bachelors/Family,1100 sqft,12000,military dairy farm rd
529,2,Unfurnished,Bachelors/Family,1150 sqft,15000,"Skanda Srinivasam, Isnapur, Outer Ring Road"
530,3,Unfurnished,Bachelors/Family,read more,19000,"Madinaguda, Hafeezpet, NH"
531,3,Furnished,Bachelors/Family,2260 sqft,50000,"Green Grace, Gachibowli, Outer Ring Road"
532,2,Semi-Furnished,Family,1205 sqft,22000,"Vazhraa Nirmaan Pushpak, Madhura Nagar, Nizampet"
533,2,Unfurnished,Bachelors,600 sqft,16000,Papulguda
534,2,Semi-Furnished,Bachelors,1360 sqft,18000,Humayun Nagar
535,2,Furnished,Bachelors/Family,1200 sqft,23000,"Padmarao Nagar, Hyderabad-Karimnagar Highway"
536,3,Semi-Furnished,Bachelors,1200 sqft,17000,"New Bowenpally, NH"
537,3,Semi-Furnished,Bachelors/Family,1961 sqft,45000,"Punjagutta, NH"
538,3,Unfurnished,Bachelors/Family,1400 sqft,25000,"Manikonda, Outer Ring Road"
539,3,Semi-Furnished,Bachelors/Family,1300 sqft,22000,"Shankara Kranthi Apartment, Kavadiguda, NH"
540,3,Unfurnished,Bachelors,1450 sqft,21000,Shaikpet
541,3,Semi-Furnished,Bachelors,1711 sqft,33000,"IT Heights, Khaja Guda, Outer Ring Road"
542,3,Semi-Furnished,Bachelors/Family,1600 sqft,25000,"Himayath Nagar, NH"
543,3,Semi-Furnished,Bachelors,2540 sqft,45000,"Narsingi, Outer Ring Road"
544,3,Furnished,Bachelors,1400 sqft,17500,"Sun City, Bandlaguda, Chevella Road"
545,3,Unfurnished,Bachelors,1670 sqft,25000,"Upparpally, Hyderabad Expressway"
546,2,Semi-Furnished,Family,1314 sqft,30000,"Narsingi, Outer Ring Road"
547,3,Unfurnished,Bachelors,2150 sqft,42000,"The Legend Somajiguda I, Somajiguda, NH"
548,3,Unfurnished,Bachelors/Family,1500 sqft,35000,Shivam Rd
549,2,Furnished,Bachelors,900 sqft,26000,Hakimpet-Hyderabad
550,3,Furnished,Bachelors/Family,2200 sqft,30000,"Miyapur, NH"
551,3,Semi-Furnished,Bachelors,2540 sqft,45000,"NCC Urban One, Narsingi, Outer Ring Road"
552,3,Unfurnished,Bachelors,1715 sqft,28000,"Habsiguda, NH"
553,2,Semi-Furnished,Bachelors/Family,1314 sqft,31000,"My Home Avatar, Narsingi, Outer Ring Road"
554,2,Semi-Furnished,Bachelors,1314 sqft,30000,"My Home Avatar, Narsingi, Outer Ring Road"
555,2,Unfurnished,Bachelors/Family,1350 sqft,15000,"Bandlaguda, Nagole, Srisailam Highway"
556,4,Furnished,Bachelors/Family,2000 sqft,35000,KPHB Road
557,3,Semi-Furnished,Bachelors/Family,1600 sqft,22000,Gopanapalli
558,3,Semi-Furnished,Bachelors/Family,1530 sqft,25000,"Kukatpally Housing Board Colony, NH"
559,2,Semi-Furnished,Bachelors/Family,1300 sqft,13000,"Ramanthapur, NH"
560,2,Semi-Furnished,Bachelors/Family,1300 sqft,15000,Rahat Nagar-Amberpet
561,2,Unfurnished,Bachelors/Family,1000 sqft,14000,"Radha Krishna Nagar-Attapur, Attapur"
562,3,Semi-Furnished,Bachelors,2100 sqft,27000,"SMR Sartaj Plaza, Bowenpally"
563,3,Semi-Furnished,Bachelors/Family,1834 sqft,34000,"My Home Avatar, Narsingi, Outer Ring Road"
564,3,Semi-Furnished,Bachelors/Family,1665 sqft,20000,Puppalaguda
565,2,Furnished,Bachelors/Family,1135 sqft,27000,"Jaya Nagar, Kukatpally, NH"
566,2,Unfurnished,Bachelors,1000 sqft,11000,Gajularamaramm
567,3,Unfurnished,Bachelors,1350 sqft,20000,Attapur
568,3,Semi-Furnished,Bachelors/Family,1400 sqft,25000,"Ameerpet, NH"
569,3,Furnished,Bachelors/Family,1800 sqft,38000,"Aparna Sarovar, Nalagantla"
570,2,Furnished,Bachelors/Family,850 sqft,28000,Mehdipatnam
571,2,Furnished,Family,1210 sqft,15000,"Bachupally, Outer Ring Road"
572,2,Furnished,Family,1500 sqft,25000,"Basheer Bagh, NH"
573,3,Semi-Furnished,Bachelors/Family,1614 sqft,16000,Gajularamaramm
574,3,Unfurnished,Bachelors,1650 sqft,30000,"SMR Empire, West Marredpally"
575,3,Semi-Furnished,Bachelors,read more,8500,Janapriya Lakefront
576,3,Semi-Furnished,Bachelors/Family,1416 sqft,16000,Nizampet
577,2,Furnished,Bachelors,read more,13500,"Victory Estates, Jeedimetla, NH"
578,2,Unfurnished,Bachelors/Family,870 sqft,12500,"Vasathi Anandi, Appa junction"
579,2,Semi-Furnished,Bachelors,1250 sqft,40000,"SMR Vinay Technopolis, Madhapur"
580,2,Unfurnished,Bachelors,1100 sqft,11000,"Pocharam, NH"
581,3,Semi-Furnished,Bachelors,1800 sqft,18000,Nizampet
582,3,Semi-Furnished,Family,1800 sqft,24000,"Narsingi, Outer Ring Road"
583,2,Semi-Furnished,Bachelors,1150 sqft,27000,"Muppas Alankrita, Narsingi, Outer Ring Road"
584,2,Unfurnished,Bachelors/Family,1080 sqft,9000,Gajularamaramm
585,4,Semi-Furnished,Bachelors/Family,2600 sqft,21000,Trimulgherry
586,3,Semi-Furnished,Family,1345 sqft,19000,"Raheja Vistas, Nacharam"
587,2,Unfurnished,Bachelors,1400 sqft,24000,"Ushodaya Enclave, Hafeezpet"
588,3,Furnished,Family,1625 sqft,16500,Nizampet
589,2,Semi-Furnished,Bachelors/Family,1000 sqft,7000,Badangpet
590,3,Semi-Furnished,Bachelors/Family,1500 sqft,26000,"Erragadda, NH"
591,3,Bachelors/Family,3,1625 sqft,16500,Bandari Layout
592,4,Furnished,Bachelors/Family,2300 sqft,50000,"Domalguda, Himayath Nagar, NH"
593,3,Unfurnished,Bachelors,1860 sqft,42500,"Vajras Jasmine County, Gachibowli, Outer Ring Road"
594,3,Furnished,Bachelors/Family,1575 sqft,50000,"Aditya Empress Towers, Shaikpet"
595,3,Furnished,Family,1600 sqft,35000,"Banjara Hills, NH"
596,3,Unfurnished,Bachelors,1435 sqft,20000,Dr A.S. Rao Nagar
597,3,Unfurnished,Bachelors/Family,1275 sqft,20000,Boiguda
598,3,Semi-Furnished,Family,2090 sqft,40000,"L&T Serene County, Telecom Nagar, Gachibowli, Gachibowli, Outer Ring Road"
599,3,Semi-Furnished,Family,2425 sqft,45000,"Meenakshi Sky Lounge, Bikshapathi Nagar, Hafeezpet"
600,2,Furnished,Bachelors/Family,1000 sqft,22000,Hitech City City
601,2,Semi-Furnished,Bachelors,1200 sqft,25000,Madhapur
602,3,Furnished,Bachelors/Family,1550 sqft,28000,"DD Colony, Amberpet"
603,3,Semi-Furnished,Bachelors/Family,1900 sqft,35000,"Aditya Imperial Heights, Hafeezpet, NH"
604,2,Semi-Furnished,Bachelors/Family,850 sqft,10000,Attapur
605,3,Unfurnished,Family,1400 sqft,14000,Attapur
606,2,Unfurnished,Bachelors,990 sqft,12000,Nizampet
607,2,Semi-Furnished,Bachelors/Family,East Facing Property,13000,Pragathi Nagar
608,2,Semi-Furnished,Family,1100 sqft,16000,"Chandanagar, NH"
609,2,Semi-Furnished,Bachelors/Family,975 sqft,16000,"Lingampally-Serilingampally, NH"
610,1,Semi-Furnished,Bachelors/Family,read more,6500,"Banjara Hills, NH"
611,3,Semi-Furnished,Bachelors,1900 sqft,38000,"Lodha Meridian, Kukatpally Housing Board Colony, NH"
612,3,Furnished,Bachelors/Family,1500 sqft,45000,Masab Tank
613,1,Unfurnished,Bachelors,read more,12500,Madhapur
614,2,Unfurnished,Bachelors/Family,1100 sqft,15000,"Madinaguda, Hafeezpet, NH"
615,3,Semi-Furnished,Bachelors/Family,1750 sqft,23000,"Anjani Towers, Ameerpet, NH"
616,3,Semi-Furnished,Bachelors/Family,1600 sqft,25000,Himayath Nagar
617,3,Semi-Furnished,Bachelors,2000 sqft,20000,Bandlaguda Jagir
618,3,Semi-Furnished,Bachelors/Family,1715 sqft,21000,MIGH Colony-Mehdipatnam
619,3,Semi-Furnished,Bachelors/Family,1834 sqft,38000,"Narsingi, Outer Ring Road"
620,2,Semi-Furnished,Bachelors,1350 sqft,16000,"Manikonda, Outer Ring Road"
621,3,Semi-Furnished,Bachelors/Family,1560 sqft,25000,New Mallepally
