Column1,Bhk,Furnishing,Tennants,Area,Price,Locality
70,3,Furnished,Bachelors/Family,1800 sqft,35000,"Nallagandla, Serilingampally"
71,3,Semi-Furnished,Family,1620 sqft,25000,Gajularamaramm
72,3,Semi-Furnished,Family,2200 sqft,25000,"Ramanthapur, NH"
73,3,Unfurnished,Bachelors/Family,1810 sqft,30000,"ALIND Employees Colony, Serilingampally"
74,3,Semi-Furnished,Bachelors,1510 sqft,12000,"ARK Homes, Bolarum, Medchal Road"
75,4,Semi-Furnished,Family,2800 sqft,50000,"Kokapet, Outer Ring Road"
76,3,Semi-Furnished,Bachelors/Family,1908 sqft,48000,"SMR Vinay Iconia, Kondapur"
77,3,Semi-Furnished,Family,1705 sqft,30000,Hitech City City
78,2,Unfurnished,Bachelors/Family,900 sqft,19000,Papulguda
79,3,Semi-Furnished,Bachelors/Family,1690 sqft,38000,"My Home Vihanga, Gachibowli, Outer Ring Road"
80,3,Semi-Furnished,Bachelors/Family,1600 sqft,35000,"Aditya Empress Towers, Shaikpet"
81,2,Unfurnished,Bachelors/Family,800 sqft,10000,Attapur
82,3,Unfurnished,Bachelors,1360 sqft,14000,Balaji Hills Colony
83,2,Furnished,Bachelors,1200 sqft,29000,"Green Space Hill Park, Manikonda, Outer Ring Road"
84,2,Semi-Furnished,Bachelors/Family,1200 sqft,17000,Puppalaguda
85,3,Unfurnished,Bachelors/Family,1580 sqft,16000,"GK Pride, Yapral"
86,2,Unfurnished,Bachelors,900 sqft,15000,Mehdipatnam
87,3,Unfurnished,Bachelors,1230 sqft,17000,Nizampet
88,2,Semi-Furnished,Bachelors,1050 sqft,18000,"Kavadiguda, NH"
89,2,Unfurnished,Bachelors/Family,1265 sqft,9000,"Gundlapochampally, Outer Ring Road"
90,2,Semi-Furnished,Bachelors/Family,1500 sqft,16000,East Marredpally
91,3,Semi-Furnished,Family,1400 sqft,21000,"Silicon Ridge, Attapur"
92,3,Unfurnished,Bachelors/Family,1550 sqft,13000,"Gks Habitat Royale, Yapral"
93,2,Semi-Furnished,Family,1100 sqft,17000,Attapur
94,2,Furnished,Bachelors,970 sqft,17000,"Green Space Residency, Gajularamaramm"
95,3,Semi-Furnished,Bachelors/Family,1650 sqft,40000,"Lacasa K Apartments, Banjara Hills, NH"
96,3,Semi-Furnished,Bachelors/Family,1630 sqft,30000,Gopanapalli
97,3,Semi-Furnished,Bachelors,1738 sqft,48000,Kondapur
98,3,Unfurnished,Bachelors,1834 sqft,40000,"My Home Avatar, Narsingi, Outer Ring Road"
99,3,Unfurnished,Bachelors,East Facing Property,24000,"Ramky One Marvel, Kukatpally, NH"
100,2,Semi-Furnished,Bachelors/Family,1250 sqft,18000,"Golden Heights Colony, Janachaitanya colony, Hyderabad Expressway"
101,2,Semi-Furnished,Family,1314 sqft,30000,"My Home Avatar, Narsingi, Outer Ring Road"
102,3,Semi-Furnished,Family,3250 sqft,36000,"Floatilla, Manikonda, Outer Ring Road"
103,4,Semi-Furnished,Family,2200 sqft,50000,"Ashoka Liviano, Gachibowli, Outer Ring Road"
104,3,Semi-Furnished,Bachelors,1360 sqft,15000,"Modi Emerald Heights, Pocharam, NH"
105,3,Furnished,Bachelors,1460 sqft,30000,Shamshabad
106,3,Unfurnished,Bachelors,1150 sqft,18000,Royal Colony-Ram Bagh Colony
107,3,Semi-Furnished,Family,2000 sqft,25000,"Anjaneyanagar Colony, Boduppal"
108,2,Unfurnished,Family,900 sqft,9500,Bairagiguda
109,3,Semi-Furnished,Family,1600 sqft,27000,West Marredpally
110,1,Furnished,Bachelors/Family,read more,36000,Kavuri Hills
111,3,Furnished,Bachelors,1369 sqft,45000,Masab Tank
112,3,Semi-Furnished,Bachelors/Family,2580 sqft,48000,"Whitefields, Hitech City"
113,3,Semi-Furnished,Bachelors/Family,2259 sqft,45000,"Lodha Meridian, Kukatpally Housing Board Colony, NH"
114,3,Semi-Furnished,Family,1800 sqft,32000,"Khairatabad, NH"
115,2,Semi-Furnished,Bachelors/Family,1314 sqft,33000,"My Home Avatar, My home avatar"
116,2,Unfurnished,Bachelors/Family,890 sqft,8000,Medipally
117,3,Unfurnished,Bachelors/Family,1843 sqft,40000,"My Home Avatar, Narsingi, Outer Ring Road"
118,3,Semi-Furnished,Bachelors/Family,1650 sqft,25000,"Old Nallakunta, New Nallakunta"
119,3,Semi-Furnished,Bachelors/Family,1200 sqft,12000,"Paramount Residency, Nagaram"
120,3,Furnished,Bachelors/Family,NaN,18000,"Sadbhavana, Ghatkesar, NH"
121,3,Furnished,Bachelors/Family,1100 sqft,13000,"Janapriya Lakefront, Sainikpuri"
122,3,Semi-Furnished,Family,2000 sqft,25000,Suchitra Circle
123,3,Semi-Furnished,Bachelors/Family,2540 sqft,38000,"NCC Urban One, Narsingi, Outer Ring Road"
